path	sentence	sentence_normalized	up_votes	down_votes	age	gender	accent	locale	segment_id	source_id	audio_id	start_time_sec	end_time_sec	duration_sec	audio_quality_score	text_quality_score	speaker_id	split
0wfqIJphIQ8/0wfqIJphIQ8_00000.wav	ځیږی	ځیږی	0	0				ps	0wfqIJphIQ8_00000	youtube_amin_sultani	0wfqIJphIQ8	0.0	4.363	4.363	80.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00001.wav	موسیقی	موسیقی	0	0				ps	0wfqIJphIQ8_00001	youtube_amin_sultani	0wfqIJphIQ8	4.363	8.349	3.986	80.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00092.wav			0	0				ps	0wfqIJphIQ8_00092	youtube_amin_sultani	0wfqIJphIQ8	1066.311	1069.353	3.042	80.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00093.wav			0	0				ps	0wfqIJphIQ8_00093	youtube_amin_sultani	0wfqIJphIQ8	1069.353	1072.92	3.567	80.0	0.0		
2Lobk49sE0Y/2Lobk49sE0Y_00000.wav			0	0				ps	2Lobk49sE0Y_00000	youtube_amin_sultani	2Lobk49sE0Y	0.0	4.335	4.335	80.0	0.0		
8TTGi9HC8m8/8TTGi9HC8m8_00000.wav			0	0				ps	8TTGi9HC8m8_00000	youtube_amin_sultani	8TTGi9HC8m8	0.0	3.414	3.414	80.0	0.0		
A9UdnFomS-4/A9UdnFomS-4_00000.wav			0	0				ps	A9UdnFomS-4_00000	youtube_amin_sultani	A9UdnFomS-4	0.0	4.363	4.363	80.0	0.0		
A9UdnFomS-4/A9UdnFomS-4_00080.wav			0	0				ps	A9UdnFomS-4_00080	youtube_amin_sultani	A9UdnFomS-4	882.48	887.638	5.158	80.0	0.0		
A9UdnFomS-4/A9UdnFomS-4_00081.wav			0	0				ps	A9UdnFomS-4_00081	youtube_amin_sultani	A9UdnFomS-4	887.638	892.32	4.682	80.0	0.0		
A9UdnFomS-4/A9UdnFomS-4_00082.wav			0	0				ps	A9UdnFomS-4_00082	youtube_amin_sultani	A9UdnFomS-4	892.32	896.556	4.236	80.0	0.0		
